Image,Filter,Parameters,MSE,PSNR,SSIM
test1.pgm,Median,size=3,noise=0.010000,0,-1,1
test1.pgm,Gaussian,size=3,noise=0.010000,16,36.0896,0.99744
test1.pgm,Median,size=5,noise=0.010000,0,-1,1
test1.pgm,Gaussian,size=5,noise=0.010000,0,-1,1
test1.pgm,Median,size=7,noise=0.010000,0,-1,1
test1.pgm,Gaussian,size=7,noise=0.010000,0,-1,1
test1.pgm,Median,size=3,noise=0.050000,2947.22,13.4367,0.650703
test1.pgm,Gaussian,size=3,noise=0.050000,2723.22,13.78,0.667751
test1.pgm,Median,size=5,noise=0.050000,2669.44,13.8666,0.67082
test1.pgm,Gaussian,size=5,noise=0.050000,2669.44,13.8666,0.67082
test1.pgm,Median,size=7,noise=0.050000,2669.44,13.8666,0.67082
test1.pgm,Gaussian,size=7,noise=0.050000,2669.44,13.8666,0.67082
test1.pgm,Median,size=3,noise=0.100000,0,-1,1
test1.pgm,Gaussian,size=3,noise=0.100000,16,36.0896,0.99744
test1.pgm,Median,size=5,noise=0.100000,0,-1,1
test1.pgm,Gaussian,size=5,noise=0.100000,0,-1,1
test1.pgm,Median,size=7,noise=0.100000,0,-1,1
test1.pgm,Gaussian,size=7,noise=0.100000,0,-1,1
test2.pgm,Median,size=3,noise=0.010000,277.778,23.6938,0.959465
test2.pgm,Gaussian,size=3,noise=0.010000,361,22.5557,0.947082
test2.pgm,Median,size=5,noise=0.010000,0,-1,1
test2.pgm,Gaussian,size=5,noise=0.010000,0,-1,1
test2.pgm,Median,size=7,noise=0.010000,0,-1,1
test2.pgm,Gaussian,size=7,noise=0.010000,0,-1,1
test2.pgm,Median,size=3,noise=0.050000,277.778,23.6938,0.959465
test2.pgm,Gaussian,size=3,noise=0.050000,361,22.5557,0.947082
test2.pgm,Median,size=5,noise=0.050000,0,-1,1
test2.pgm,Gaussian,size=5,noise=0.050000,0,-1,1
test2.pgm,Median,size=7,noise=0.050000,0,-1,1
test2.pgm,Gaussian,size=7,noise=0.050000,0,-1,1
test2.pgm,Median,size=3,noise=0.100000,277.778,23.6938,0.959465
test2.pgm,Gaussian,size=3,noise=0.100000,361,22.5557,0.947082
test2.pgm,Median,size=5,noise=0.100000,0,-1,1
test2.pgm,Gaussian,size=5,noise=0.100000,0,-1,1
test2.pgm,Median,size=7,noise=0.100000,0,-1,1
test2.pgm,Gaussian,size=7,noise=0.100000,0,-1,1
